"date"	"inc"
2010-01-01	23
2010-02-01	23
2010-03-01	25
2010-04-01	11
2010-05-01	16
2010-06-01	18
2010-07-01	21
2010-08-01	0
2010-09-01	20
2010-10-01	22
2010-11-01	25
2010-12-01	19
2011-01-01	15
2011-02-01	24
2011-03-01	21
2011-04-01	28
2011-05-01	26
2011-06-01	26
2011-07-01	28
2011-08-01	38
2011-09-01	28
2011-10-01	41
2011-11-01	26
2011-12-01	26
2012-01-01	29
2012-02-01	25
2012-03-01	36
2012-04-01	23
2012-05-01	33
2012-06-01	35
2012-07-01	36
2012-08-01	42
2012-09-01	25
2012-10-01	32
2012-11-01	31
2012-12-01	34
2013-01-01	29
2013-02-01	37
2013-03-01	37
2013-04-01	35
2013-05-01	44
2013-06-01	35
2013-07-01	30
2013-08-01	23
2013-09-01	30
2013-10-01	35
2013-11-01	35
2013-12-01	39
2014-01-01	47
2014-02-01	43
2014-03-01	47
2014-04-01	54
2014-05-01	54
2014-06-01	42
2014-07-01	44
2014-08-01	39
2014-09-01	45
2014-10-01	50
2014-11-01	37
2014-12-01	30
2015-01-01	47
2015-02-01	46
2015-03-01	54
2015-04-01	49
2015-05-01	55
2015-06-01	79
2015-07-01	68
2015-08-01	59
2015-09-01	61
2015-10-01	56
2015-11-01	56
2015-12-01	54
2016-01-01	47
2016-02-01	58
2016-03-01	54
2016-04-01	49
2016-05-01	47
2016-06-01	53
2016-07-01	44
2016-08-01	49
2016-09-01	49
2016-10-01	43
2016-11-01	60
2016-12-01	44
2017-01-01	73
2017-02-01	47
2017-03-01	55
2017-04-01	61
2017-05-01	60
2017-06-01	68
2017-07-01	46
2017-08-01	79
2017-09-01	82
2017-10-01	67
2017-11-01	64
2017-12-01	61
2018-01-01	73
2018-02-01	85
2018-03-01	87
2018-04-01	51
2018-05-01	86
2018-06-01	73
2018-07-01	71
2018-08-01	68
2018-09-01	55
2018-10-01	65
2018-11-01	84
2018-12-01	64
2019-01-01	80
2019-02-01	56
2019-03-01	74
2019-04-01	73
2019-05-01	73
2019-06-01	74
2019-07-01	70
2019-08-01	67
2019-09-01	42
2019-10-01	69
2019-11-01	63
2019-12-01	75
2020-01-01	71
2020-02-01	77
2020-03-01	62
2020-04-01	59
2020-05-01	29
